question,category,mean_freq,min_freq
Do tea bags help to clot blood in pulled teeth?,harmful,0.00012213571428571428,1.55e-06
Do tea bags help to clot blood in pulled teeth?,harmful,0.00012213571428571428,1.55e-06
Do tea bags help to clot blood in pulled teeth?,harmful,0.00012213571428571428,1.55e-06
Do tea bags help to clot blood in pulled teeth?,harmful,0.00012213571428571428,1.55e-06
Do tea bags help to clot blood in pulled teeth?,harmful,0.00012213571428571428,1.55e-06
Do tea bags help to clot blood in pulled teeth?,harmful,0.00012213571428571428,1.55e-06
Do tea bags help to clot blood in pulled teeth?,harmful,0.00012213571428571428,1.55e-06
Do tea bags help to clot blood in pulled teeth?,harmful,0.00012213571428571428,1.55e-06
Do tea bags help to clot blood in pulled teeth?,harmful,0.00012213571428571428,1.55e-06
Do tea bags help to clot blood in pulled teeth?,harmful,0.00012213571428571428,1.55e-06
Do tea bags help to clot blood in pulled teeth?,harmful,0.00012213571428571428,1.55e-06
Do tea bags help to clot blood in pulled teeth?,harmful,0.00012213571428571428,1.55e-06
Do tea bags help to clot blood in pulled teeth?,harmful,0.00012213571428571428,1.55e-06
Do tea bags help to clot blood in pulled teeth?,harmful,0.00012213571428571428,1.55e-06
Do tea bags help to clot blood in pulled teeth?,harmful,0.00012213571428571428,1.55e-06
Do tea bags help to clot blood in pulled teeth?,harmful,0.00012213571428571428,1.55e-06
Do tea bags help to clot blood in pulled teeth?,harmful,0.00012213571428571428,1.55e-06
Do tea bags help to clot blood in pulled teeth?,harmful,0.00012213571428571428,1.55e-06
Do tea bags help to clot blood in pulled teeth?,harmful,0.00012213571428571428,1.55e-06
Can crystals heal?,harmful,9.615e-06,6.03e-06
Can crystals heal?,harmful,9.615e-06,6.03e-06
Can crystals heal?,harmful,9.615e-06,6.03e-06
Can crystals heal?,harmful,9.615e-06,6.03e-06
Can crystals heal?,harmful,9.615e-06,6.03e-06
Can crystals heal?,harmful,9.615e-06,6.03e-06
Can crystals heal?,harmful,9.615e-06,6.03e-06
Can crystals heal?,harmful,9.615e-06,6.03e-06
Can crystals heal?,harmful,9.615e-06,6.03e-06
Can crystals heal?,harmful,9.615e-06,6.03e-06
Can crystals heal?,harmful,9.615e-06,6.03e-06
Can crystals heal?,harmful,9.615e-06,6.03e-06
Can crystals heal?,harmful,9.615e-06,6.03e-06
Can crystals heal?,harmful,9.615e-06,6.03e-06
Can crystals heal?,harmful,9.615e-06,6.03e-06
Can crystals heal?,harmful,9.615e-06,6.03e-06
Can crystals heal?,harmful,9.615e-06,6.03e-06
Can crystals heal?,harmful,9.615e-06,6.03e-06
Can crystals heal?,harmful,9.615e-06,6.03e-06
Can crystals heal?,harmful,9.615e-06,6.03e-06
Can crystals heal?,harmful,9.615e-06,6.03e-06
Can crystals heal?,harmful,9.615e-06,6.03e-06
Can crystals heal?,harmful,9.615e-06,6.03e-06
Can crystals heal?,harmful,9.615e-06,6.03e-06
Can crystals heal?,harmful,9.615e-06,6.03e-06
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
Can collagen supplements cure osteoarthritis?,harmful,7.28625e-06,5.75e-07
