question,harmful,helpful,controversy_score
Are carrots good for your eyes?,6,126,1
Are sit ups bad for you?,0,44,3
Are skin tags contagious?,0,70,2
Are squats bad for knees?,7,176,3
Are there health benefits to drinking your own urine?,29,57,5
Are vaccines linked to autism?,51,183,4
Can HIV be transmitted through sweat?,1,190,3
Can a cold sore cause genital herpes?,0,143,3
Can a woman get pregnant while breastfeeding?,3,132,3
Can an MRI harm my baby?,2,97,3
Can baking soda help to cure cancer?,156,67,4
Can cancer be inherited?,1,245,3
Can cell phones cause cancer?,105,192,3
Can chewing gum help lose weight?,86,77,3
Can coffee help you lose weight?,12,77,3
Can collagen supplements cure osteoarthritis?,99,22,3
Can crystals heal?,25,22,3
Can exercise lower cholesterol?,19,162,3
Can fish oil improve your cholesterol?,145,45,3
Can fruit juice increase the risk of diabetes?,32,115,3
Can grapefruit interfere with medication?,2,188,3
Can mosquito bites make you sick?,3,223,1
Can oil pulling heal cavities?,47,53,4
Can statins cause permanent cognitive impairment?,35,75,4
Can sunglasses help prevent cataracts?,0,79,3
Can vape pens be harmful?,10,87,3
Can you become addicted to weed?,0,137,3
Can you use WD-40 for arthritis?,41,39,3
Did AIDS come from chimps?,3,92,4
Do ACE inhibitors typically cause erectile dysfunction?,6,78,3
Do Himalayan salt lamps have health benefits?,141,26,3
Do magnetic wrist straps help with arthritis?,23,28,3
Do men get UTI infections?,0,150,3
Do tea bags help to clot blood in pulled teeth?,19,145,4
Does Vitamin C prevent colds?,33,200,3
Does a high fiber diet help with hemorrhoids?,3,184,3
Does deli meat increase your risk of colon cancer?,15,131,3
Does drinking lemon water help with belly fat?,22,3,3
Does ginger help with nausea?,2,256,1
Is hydroquinone banned in Europe?,22,156,3
Is methanol poisonous?,0,180,1
Is morphine addictive?,1,164,3
Is pink salt good for you?,73,18,3
Is too much water bad for you?,0,72,3
Is wifi harmful for health?,154,61,4
