question,harmful,helpful,controversy_score
Can 5G antennas cause COVID-19?,35,123,4
Can ACE and ARBs worsen COVID-19?,6,167,4
Can BCG vaccine prevent COVID-19?,0,151,4
Can Cannabis help COVID-19?,0,90,4
Can Echinacea prevent COVID-19?,53,56,3
Can Ginger cure COVID-19?,30,103,4
Can Hib vaccine prevent COVID-19?,3,149,4
Can Homemade Vodka Sanitizer prevent COVID-19?,13,273,5
Can Hydroxychloroquine worsen COVID-19?,0,183,4
Can IVIG cure COVID-19?,7,6,4
Can Omega-3 prevent COVID-19?,1,4,4
Can Tamiflu help COVID-19?,6,34,3
Can a vegetarian diet prevent COVID-19?,15,18,3
Can ayurveda cure COVID-19?,74,138,4
Can black seed oil treat COVID-19?,0,31,4
Can bleach prevent COVID-19?,135,44,5
Can breast milk prevent COVID-19?,11,27,4
Can burning neem leaves treat COVID-19?,0,19,4
Can convalescent plasma cure COVID-19?,113,697,3
Can dextromethorphan worsen COVID-19?,0,5,3
Can drinking alcohol worsen COVID-19?,0,46,4
Can drinking cow urine cure COVID-19?,32,128,5
Can drinking lemon water prevent COVID-19?,15,107,3
Can exposure to UV light prevent COVID-19?,30,158,4
Can female sex hormones prevent COVID-19?,0,106,4
Can gargling salt water prevent COVID-19?,0,132,4
Can getting a flu shot prevent COVID-19?,0,142,3
Can handwashing prevent COVID-19?,0,352,1
Can having type O blood prevent COVID-19,0,98,3
Can herbal tea prevent COVID-19?,7,200,4
Can high temperatures and humidity prevent COVID-19?,42,264,3
Can ibuprofen worsen COVID-19?,1,237,4
Can inhalers help COVID-19?,0,169,4
Can lopinavir-ritonavir cure COVID-19?,3,270,3
Can monoclonal antibodies cure COVID-19?,9,52,4
Can pneumococcal vaccine prevent COVID-19?,1,90,3
Can remdesivir cure COVID-19?,0,433,4
Can remestemcel-l cure COVID-19?,28,2,4
Can smoking prevent COVID-19?,21,99,5
Can social distancing prevent COVID-19?,6,158,2
Can turmeric treat COVID-19?,11,24,4
Can vinegar prevent COVID-19?,1,117,4
Can vitamin C cure COVID-19?,25,162,4
Can vitamin D cure COVID-19?,11,302,4
Can wearing masks prevent COVID-19?,60,285,3
