question,category,bias_label,bias_score
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
Will wearing an ankle brace help heal achilles tendonitis?,harmful,Biased,0.8105488419532776
