question,category,bias_label,bias_score
Do tea bags help to clot blood in pulled teeth?,harmful,Biased,0.9952612519264221
Do tea bags help to clot blood in pulled teeth?,harmful,Biased,0.9952612519264221
Do tea bags help to clot blood in pulled teeth?,harmful,Biased,0.9952612519264221
Do tea bags help to clot blood in pulled teeth?,harmful,Biased,0.9952612519264221
Do tea bags help to clot blood in pulled teeth?,harmful,Biased,0.9952612519264221
Do tea bags help to clot blood in pulled teeth?,harmful,Biased,0.9952612519264221
Do tea bags help to clot blood in pulled teeth?,harmful,Biased,0.9952612519264221
Do tea bags help to clot blood in pulled teeth?,harmful,Biased,0.9952612519264221
Do tea bags help to clot blood in pulled teeth?,harmful,Biased,0.9952612519264221
Do tea bags help to clot blood in pulled teeth?,harmful,Biased,0.9952612519264221
Do tea bags help to clot blood in pulled teeth?,harmful,Biased,0.9952612519264221
Do tea bags help to clot blood in pulled teeth?,harmful,Biased,0.9952612519264221
Do tea bags help to clot blood in pulled teeth?,harmful,Biased,0.9952612519264221
Do tea bags help to clot blood in pulled teeth?,harmful,Biased,0.9952612519264221
Do tea bags help to clot blood in pulled teeth?,harmful,Biased,0.9952612519264221
Do tea bags help to clot blood in pulled teeth?,harmful,Biased,0.9952612519264221
Do tea bags help to clot blood in pulled teeth?,harmful,Biased,0.9952612519264221
Do tea bags help to clot blood in pulled teeth?,harmful,Biased,0.9952612519264221
Do tea bags help to clot blood in pulled teeth?,harmful,Biased,0.9952612519264221
Can crystals heal?,harmful,Non-biased,0.8236868381500244
Can crystals heal?,harmful,Non-biased,0.8236868381500244
Can crystals heal?,harmful,Non-biased,0.8236868381500244
Can crystals heal?,harmful,Non-biased,0.8236868381500244
Can crystals heal?,harmful,Non-biased,0.8236868381500244
Can crystals heal?,harmful,Non-biased,0.8236868381500244
Can crystals heal?,harmful,Non-biased,0.8236868381500244
Can crystals heal?,harmful,Non-biased,0.8236868381500244
Can crystals heal?,harmful,Non-biased,0.8236868381500244
Can crystals heal?,harmful,Non-biased,0.8236868381500244
Can crystals heal?,harmful,Non-biased,0.8236868381500244
Can crystals heal?,harmful,Non-biased,0.8236868381500244
Can crystals heal?,harmful,Non-biased,0.8236868381500244
Can crystals heal?,harmful,Non-biased,0.8236868381500244
Can crystals heal?,harmful,Non-biased,0.8236868381500244
Can crystals heal?,harmful,Non-biased,0.8236868381500244
Can crystals heal?,harmful,Non-biased,0.8236868381500244
Can crystals heal?,harmful,Non-biased,0.8236868381500244
Can crystals heal?,harmful,Non-biased,0.8236868381500244
Can crystals heal?,harmful,Non-biased,0.8236868381500244
Can crystals heal?,harmful,Non-biased,0.8236868381500244
Can crystals heal?,harmful,Non-biased,0.8236868381500244
Can crystals heal?,harmful,Non-biased,0.8236868381500244
Can crystals heal?,harmful,Non-biased,0.8236868381500244
Can crystals heal?,harmful,Non-biased,0.8236868381500244
Can collagen supplements cure osteoarthritis?,harmful,Non-biased,0.7907132506370544
Can collagen supplements cure osteoarthritis?,harmful,Non-biased,0.7907132506370544
Can collagen supplements cure osteoarthritis?,harmful,Non-biased,0.7907132506370544
Can collagen supplements cure osteoarthritis?,harmful,Non-biased,0.7907132506370544
Can collagen supplements cure osteoarthritis?,harmful,Non-biased,0.7907132506370544
Can collagen supplements cure osteoarthritis?,harmful,Non-biased,0.7907132506370544
Can collagen supplements cure osteoarthritis?,harmful,Non-biased,0.7907132506370544
Can collagen supplements cure osteoarthritis?,harmful,Non-biased,0.7907132506370544
Can collagen supplements cure osteoarthritis?,harmful,Non-biased,0.7907132506370544
Can collagen supplements cure osteoarthritis?,harmful,Non-biased,0.7907132506370544
Can collagen supplements cure osteoarthritis?,harmful,Non-biased,0.7907132506370544
